filename	mark	label	off0	off1	span	isH	isN	iscomplex	NCBITax
casos_clinicos_infecciosas141	T87	SPECIES	8451	8467	tuberculostático	False	False	False	77643
casos_clinicos_infecciosas141	T88	SPECIES	8108	8125	tuberculostáticos	False	False	False	77643
casos_clinicos_infecciosas141	T89	SPECIES	9218	9235	tuberculostáticos	False	False	False	77643
casos_clinicos_infecciosas141	T91	SPECIES	178	183	viral	False	False	False	10239
casos_clinicos_infecciosas141	T92	SPECIES	401	406	viral	False	False	False	10239
casos_clinicos_infecciosas141	T93	SPECIES	469	474	viral	False	False	False	10239
casos_clinicos_infecciosas141	T94	SPECIES	5958	5971	Campylobacter	False	False	False	194
casos_clinicos_infecciosas141	T95	SPECIES	6552	6561	T. gondii	False	False	False	5811
casos_clinicos_infecciosas141	T96	SPECIES	7002	7010	M. avium	False	False	False	1764
casos_clinicos_infecciosas141	T97	SPECIES	7340	7355	M. tuberculosis	False	False	False	77643
casos_clinicos_infecciosas141	T98	SPECIES	9059	9074	M. tuberculosis	False	False	False	77643
casos_clinicos_infecciosas141	T100	SPECIES	101	117	inmunovirológica	False	False	False	10239
casos_clinicos_infecciosas141	T101	SPECIES	2346	2353	sífilis	False	False	False	160
casos_clinicos_infecciosas141	T102	SPECIES	4733	4749	Toxoplasmagondii	False	False	False	5811
casos_clinicos_infecciosas141	T103	SPECIES	4850	4858	fúngicas	False	False	False	4751
casos_clinicos_infecciosas141	T110	SPECIES	6063	6070	bacilar	True	False	False	2|H
cc_onco908	T2	SPECIES	4097	4109	Nocardia spp	False	False	False	1821
cc_onco908	T3	SPECIES	4178	4186	Nocardia	False	False	False	1817
cc_onco908	T4	SPECIES	3716	3738	Pneumocystis jirovecii	False	False	False	42068
cc_onco908	T5	SPECIES	1879	1882	VIH	False	False	False	12721
cc_onco908	T21	SPECIES	1885	1894	hepatitis	False	False	True	12092|10407|11103|12475|1678143
caso_clinico_medtropical54	T2	SPECIES	546	549	BCG	False	False	False	33892
caso_clinico_medtropical54	T5	SPECIES	510	535	amastigotes de Leishmania	False	False	False	5658
caso_clinico_medtropical54	T14	SPECIES	2596	2604	parásito	True	False	False	2759|H
caso_clinico_medtropical54	T17	SPECIES	1582	1593	leishmanina	False	False	False	5658
caso_clinico_medtropical54	T18	SPECIES	1772	1797	amastigotes de Leishmania	False	False	False	5658
caso_clinico_medtropical54	T20	SPECIES	1633	1647	antileishmania	False	False	False	5658
casos_clinicos_infecciosas1	T2	SPECIES	5853	5873	Chlamydia pneumoniae	False	False	False	83558
casos_clinicos_infecciosas1	T3	SPECIES	5988	6003	Citomegalovirus	False	False	False	10358
casos_clinicos_infecciosas1	T4	SPECIES	5899	5916	Coxiella burnetti	False	False	False	777
casos_clinicos_infecciosas1	T5	SPECIES	5563	5580	Fusobacterium spp	False	False	False	68766
casos_clinicos_infecciosas1	T6	SPECIES	7095	7120	Fusobacterium necrophorum	False	False	False	859
casos_clinicos_infecciosas1	T8	SPECIES	5682	5704	Legionella pneumophila	False	False	False	446
casos_clinicos_infecciosas1	T10	SPECIES	5830	5851	Mycoplasma pneumoniae	False	False	False	2104
casos_clinicos_infecciosas1	T12	SPECIES	5655	5679	Streptococcus pneumoniae	False	False	False	1313
casos_clinicos_infecciosas1	T14	SPECIES	6004	6021	Toxoplasma gondii	False	False	False	5811
casos_clinicos_infecciosas1	T20	SPECIES	5766	5775	bacterias	False	False	False	2
casos_clinicos_infecciosas1	T23	SPECIES	2915	2929	estreptocócico	False	False	False	1301
casos_clinicos_infecciosas1	T26	SPECIES	5778	5791	micobacterias	False	False	False	1762
casos_clinicos_infecciosas1	T45	SPECIES	6056	6086	virus inmunodeficiencia humana	False	False	False	12721
casos_clinicos_infecciosas1	T46	SPECIES	5919	5938	virus respiratorios	True	False	False	10239|H
casos_clinicos_infecciosas1	T48	SPECIES	5875	5897	Chlamydophila psittaci	False	False	False	83554
casos_clinicos_infecciosas1	T49	SPECIES	6023	6040	virus hepatitis A	False	False	False	12092
casos_clinicos_infecciosas1	T50	SPECIES	2857	2871	estreptocócica	False	False	False	1301
casos_clinicos_infecciosas1	T54	SPECIES	4797	4809	Bacteriemias	False	False	False	2
casos_clinicos_infecciosas1	T56	SPECIES	5968	5986	Virus Epstein Barr	False	False	False	10376
casos_clinicos_infecciosas1	T57	SPECIES	6023	6042	virus hepatitis A,B	False	False	True	12092|10407
casos_clinicos_infecciosas1	T58	SPECIES	6023	6044	virus hepatitis A,B,C	False	False	True	12092|10407|11103
casos_clinicos_infecciosas1	T62	SPECIES	6046	6053	rubeola	False	False	False	11041
