filename	mark	label	off0	off1	span
casos_clinicos_infecciosas1	T5	SPECIES	5563	5580	Fusobacterium spp
casos_clinicos_infecciosas1	T6	SPECIES	7095	7120	Fusobacterium necrophorum
casos_clinicos_infecciosas1	T8	SPECIES	5682	5704	Legionella pneumophila
casos_clinicos_infecciosas1	T9	HUMAN	0	5	Mujer
casos_clinicos_infecciosas1	T10	SPECIES	5830	5851	Mycoplasma pneumoniae
casos_clinicos_infecciosas1	T12	SPECIES	5655	5679	Streptococcus pneumoniae
casos_clinicos_infecciosas1	T14	SPECIES	6004	6021	Toxoplasma gondii
casos_clinicos_infecciosas1	T20	SPECIES	5766	5775	bacterias
casos_clinicos_infecciosas1	T23	SPECIES	2915	2929	estreptocócico
casos_clinicos_infecciosas1	T24	HUMAN	75	83	infancia
casos_clinicos_infecciosas1	T26	SPECIES	5778	5791	micobacterias
casos_clinicos_infecciosas1	T27	HUMAN	300	327	médico de atención primaria
casos_clinicos_infecciosas1	T29	HUMAN	681	689	paciente
casos_clinicos_infecciosas1	T30	HUMAN	873	881	paciente
casos_clinicos_infecciosas1	T31	HUMAN	3497	3505	paciente
casos_clinicos_infecciosas1	T32	HUMAN	4626	4634	paciente
casos_clinicos_infecciosas1	T33	HUMAN	7292	7300	paciente
casos_clinicos_infecciosas1	T34	HUMAN	7813	7821	paciente
casos_clinicos_infecciosas1	T35	HUMAN	8042	8050	paciente
casos_clinicos_infecciosas1	T36	HUMAN	4588	4596	personal
casos_clinicos_infecciosas1	T45	SPECIES	6056	6086	virus inmunodeficiencia humana
casos_clinicos_infecciosas1	T46	SPECIES	5919	5938	virus respiratorios
casos_clinicos_infecciosas1	T48	SPECIES	5875	5897	Chlamydophila psittaci
casos_clinicos_infecciosas1	T49	SPECIES	6023	6040	virus hepatitis A
casos_clinicos_infecciosas1	T50	SPECIES	2857	2871	estreptocócica
casos_clinicos_infecciosas1	T54	SPECIES	4797	4809	Bacteriemias
casos_clinicos_infecciosas1	T56	SPECIES	5968	5986	Virus Epstein Barr
casos_clinicos_infecciosas1	T57	SPECIES	6023	6042	virus hepatitis A,B
casos_clinicos_infecciosas1	T58	SPECIES	6023	6044	virus hepatitis A,B,C
casos_clinicos_infecciosas1	T62	SPECIES	6046	6053	rubeola
