filename	mark	label	off0	off1	span
casos_clinicos_infecciosas141	T101	SPECIES	2346	2353	sífilis
casos_clinicos_infecciosas141	T102	SPECIES	4733	4749	Toxoplasmagondii
casos_clinicos_infecciosas141	T103	SPECIES	4850	4858	fúngicas
casos_clinicos_infecciosas141	T110	SPECIES	6063	6070	bacilar
cc_onco908	T2	SPECIES	4097	4109	Nocardia spp
cc_onco908	T3	SPECIES	4178	4186	Nocardia
cc_onco908	T4	SPECIES	3716	3738	Pneumocystis jirovecii
cc_onco908	T5	SPECIES	1879	1882	VIH
cc_onco908	T21	SPECIES	1885	1894	hepatitis
caso_clinico_medtropical54	T2	SPECIES	546	549	BCG
caso_clinico_medtropical54	T5	SPECIES	510	535	amastigotes de Leishmania
caso_clinico_medtropical54	T14	SPECIES	2596	2604	parásito
caso_clinico_medtropical54	T17	SPECIES	1582	1593	leishmanina
caso_clinico_medtropical54	T18	SPECIES	1772	1797	amastigotes de Leishmania
caso_clinico_medtropical54	T20	SPECIES	1633	1647	antileishmania
casos_clinicos_infecciosas1	T2	SPECIES	5853	5873	Chlamydia pneumoniae
casos_clinicos_infecciosas1	T3	SPECIES	5988	6003	Citomegalovirus
casos_clinicos_infecciosas1	T4	SPECIES	5899	5916	Coxiella burnetti
casos_clinicos_infecciosas1	T5	SPECIES	5563	5580	Fusobacterium spp
casos_clinicos_infecciosas1	T6	SPECIES	7095	7120	Fusobacterium necrophorum
casos_clinicos_infecciosas1	T8	SPECIES	5682	5704	Legionella pneumophila
casos_clinicos_infecciosas1	T10	SPECIES	5830	5851	Mycoplasma pneumoniae
casos_clinicos_infecciosas1	T12	SPECIES	5655	5679	Streptococcus pneumoniae
casos_clinicos_infecciosas1	T14	SPECIES	6004	6021	Toxoplasma gondii
casos_clinicos_infecciosas1	T20	SPECIES	5766	5775	bacterias
casos_clinicos_infecciosas1	T23	SPECIES	2915	2929	estreptocócico
casos_clinicos_infecciosas1	T26	SPECIES	5778	5791	micobacterias
casos_clinicos_infecciosas1	T45	SPECIES	6056	6086	virus inmunodeficiencia humana
casos_clinicos_infecciosas1	T46	SPECIES	5919	5938	virus respiratorios
casos_clinicos_infecciosas1	T48	SPECIES	5875	5897	Chlamydophila psittaci
casos_clinicos_infecciosas1	T49	SPECIES	6023	6040	virus hepatitis A
casos_clinicos_infecciosas1	T50	SPECIES	2857	2871	estreptocócica
casos_clinicos_infecciosas1	T54	SPECIES	4797	4809	Bacteriemias
casos_clinicos_infecciosas1	T56	SPECIES	5968	5986	Virus Epstein Barr
casos_clinicos_infecciosas1	T57	SPECIES	6023	6042	virus hepatitis A,B
casos_clinicos_infecciosas1	T58	SPECIES	6023	6044	virus hepatitis A,B,C
casos_clinicos_infecciosas1	T62	SPECIES	6046	6053	rubeola
